date,station_id,rainfall_mm,w_avg,w_max,w_min,q_avg,q_max,q_min,flood_category
1990-01-01,THA01,0.0,1.08,1.1,1.07,12.58,13.02,12.06,Normal
1990-01-02,THA01,0.0,1.08,1.08,1.07,12.52,12.54,12.06,Normal
1990-01-03,THA01,0.0,1.06,1.07,1.04,11.71,12.06,11.12,Normal
1990-01-04,THA01,0.0,1.07,1.2,1.01,12.15,16.55,10.21,Normal
1990-01-05,THA01,17.0,1.54,1.74,1.23,29.3,37.69,17.6,Normal
1990-01-06,THA01,10.0,1.48,1.69,1.33,27.02,35.68,20.89,Normal
1990-01-07,THA01,0.0,1.61,1.74,1.42,32.25,37.69,24.35,Normal
1990-01-08,THA01,0.0,1.27,1.42,1.17,18.94,24.35,15.51,Normal
1990-01-09,THA01,0.0,1.15,1.17,1.11,14.81,15.51,13.51,Normal
1990-01-10,THA01,0.0,1.08,1.11,1.07,12.48,13.51,12.06,Normal
1990-01-11,THA01,0.0,1.05,1.07,1.04,11.63,12.06,11.12,Normal
1990-01-12,THA01,0.0,1.02,1.04,1.01,10.71,11.12,10.21,Normal
1990-01-13,THA01,7.5,1.11,1.84,0.99,14.12,42.53,9.77,Normal
1990-01-14,THA01,0.0,1.56,2.04,1.23,30.85,51.98,17.6,Normal
1990-01-15,THA01,0.0,1.12,1.19,1.07,13.83,16.03,12.06,Normal
1990-01-16,THA01,0.0,1.03,1.07,1.01,10.94,12.06,10.21,Normal
1990-01-17,THA01,0.0,0.99,1.01,0.98,9.68,10.21,9.33,Normal
1990-01-18,THA01,0.0,0.98,0.99,0.98,9.51,9.77,9.33,Normal
1990-01-19,THA01,0.0,0.97,0.98,0.96,9.06,9.33,8.89,Normal
1990-01-20,THA01,0.0,0.95,0.96,0.93,8.5,8.89,8.05,Normal
1990-01-21,THA01,0.0,0.91,0.93,0.9,7.58,8.05,7.23,Normal
1990-01-22,THA01,0.0,0.89,0.9,0.88,6.91,7.23,6.83,Normal
1990-01-23,THA01,0.0,0.88,0.88,0.87,6.63,6.83,6.44,Normal
1990-01-24,THA01,0.0,0.87,0.87,0.87,6.44,6.44,6.44,Normal
1990-01-25,THA01,24.0,0.87,0.99,0.85,6.6,9.77,6.05,Normal
1990-01-26,THA01,0.0,0.99,1.13,0.93,9.94,14.0,8.05,Normal
1990-01-27,THA01,0.0,0.88,0.9,0.87,6.72,7.23,6.44,Normal
1990-01-28,THA01,0.0,0.85,0.85,0.84,5.85,6.05,5.68,Normal
1990-01-29,THA01,0.0,0.82,0.84,0.82,5.34,5.68,5.31,Normal
