date,station_id,rainfall_mm,w_avg,w_max,w_min,q_avg,q_max,q_min,flood_category,rainfall_DEN01,rainfall_LAN01,rainfall_THA01,rainfall_UDU01,rainfall_MAK01,rainfall_BAD01,rising_flag,station_code
2010-09-01,BAD01,0.0,0.89,1.08,0.8,33.23,42.19,28.86,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-02,BAD01,0.0,0.74,0.78,0.71,26.29,27.98,24.98,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-03,BAD01,0.0,0.7,0.72,0.68,24.62,25.4,23.74,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-04,BAD01,0.0,0.65,0.68,0.62,22.49,23.74,21.32,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-05,BAD01,0.0,0.7,0.96,0.54,24.84,36.25,18.25,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-06,BAD01,0.0,0.87,1.14,0.64,32.35,45.29,22.11,Normal,0.0,0.0,14.6,0.0,2.5,0.0,0,0
2010-09-07,BAD01,0.0,0.69,0.95,0.54,24.43,35.77,18.25,Normal,0.0,0.0,1.6,0.0,1.9,0.0,0,0
2010-09-08,BAD01,0.0,0.99,1.16,0.78,38.03,46.34,27.98,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-09,BAD01,21.7,0.8,1.08,0.63,29.01,42.19,21.71,Normal,0.0,0.0,14.0,0.0,26.2,21.7,0,0
2010-09-10,BAD01,28.4,0.95,1.16,0.79,35.72,46.34,28.42,Normal,0.0,0.0,5.4,0.0,0.0,28.4,0,0
2010-09-11,BAD01,0.0,0.93,1.01,0.79,34.73,38.68,28.42,Normal,0.0,0.0,0.0,0.0,28.8,0.0,0,0
2010-09-12,BAD01,17.2,0.74,0.86,0.65,26.22,31.55,22.52,Normal,0.0,0.0,10.9,0.0,0.0,17.2,0,0
2010-09-13,BAD01,7.0,0.69,0.74,0.64,24.09,26.25,22.11,Normal,0.0,0.0,5.6,0.0,16.8,7.0,0,0
2010-09-14,BAD01,30.1,0.71,0.77,0.64,25.11,27.54,22.11,Normal,0.0,0.0,40.4,0.0,6.8,30.1,0,0
2010-09-15,BAD01,0.0,1.08,1.37,0.75,42.6,57.89,26.68,Normal,0.0,0.0,7.6,0.0,23.3,0.0,0,0
2010-09-16,BAD01,0.0,1.16,1.38,0.83,46.88,58.47,30.19,Normal,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2010-09-17,BAD01,0.0,0.68,0.81,0.61,23.93,29.3,20.92,Normal,0.0,0.0,2.4,0.0,0.0,0.0,0,0
2010-09-18,BAD01,1.7,0.68,0.74,0.62,23.7,26.25,21.32,Normal,0.0,0.0,24.5,0.0,0.8,1.7,0,0
2010-09-19,BAD01,6.7,0.75,0.83,0.7,26.69,30.19,24.56,Normal,0.0,0.0,7.6,0.0,2.6,6.7,0,0
2010-09-20,BAD01,0.0,0.82,0.88,0.76,29.82,32.47,27.11,Normal,0.0,0.0,0.0,0.0,5.7,0.0,0,0
2010-09-21,BAD01,83.8,0.76,0.84,0.71,27.13,30.65,24.98,Normal,0.0,0.0,109.5,0.0,0.0,83.8,0,0
2010-09-22,BAD01,72.2,2.93,3.48,1.03,174.31,219.84,39.67,Normal,0.0,0.0,53.5,0.0,101.1,72.2,0,0
2010-09-23,BAD01,42.8,3.81,4.05,3.48,251.75,275.89,219.84,Minor Flood,0.0,0.0,47.2,0.0,61.2,42.8,0,0
2010-09-24,BAD01,23.0,4.1,4.14,4.07,281.43,285.17,277.95,Minor Flood,0.0,0.0,20.9,0.0,31.1,23.0,0,0
2010-09-25,BAD01,3.6,3.99,4.08,3.78,270.14,278.97,248.75,Minor Flood,0.0,0.0,2.0,0.0,30.0,3.6,0,0
2010-09-26,BAD01,7.8,3.34,3.75,2.88,207.39,245.8,166.11,Alert,0.0,0.0,2.8,0.0,9.4,7.8,0,0
2010-09-27,BAD01,0.0,2.5,2.85,2.26,135.63,163.57,116.71,Normal,0.0,0.0,1.4,0.0,0.0,0.0,0,0
2010-09-28,BAD01,96.9,2.44,3.17,2.0,131.44,191.38,97.98,Normal,0.0,0.0,12.5,0.0,2.7,96.9,0,0
2010-09-29,BAD01,0.0,3.16,3.28,2.9,191.01,201.31,167.81,Normal,0.0,0.0,2.0,0.0,98.6,0.0,0,0
2010-09-30,BAD01,0.0,2.49,2.87,2.11,134.72,165.26,105.75,Normal,0.0,0.0,2.0,0.0,2.1,0.0,0,0
2010-10-01,BAD01,59.4,1.99,2.12,1.77,97.42,106.47,82.44,Normal,0.0,0.0,91.0,0.0,1.1,59.4,0,0
